paper, paper, rock, scissors, rock, paper, rock, scissors
rock,  scissors, rock, scissors, rock, rock, paper, rock
scissors, rock, paper, scissors, rock, paper
paper, scissors, paper, scissors, scissors, rock
rock, rock, paper, paper, rock, paper, scissors, rock, paper, rock, rock, paper
scissors, rock, paper paper, rock, rock, scissors, paper, scissors, paper, rock, scissors, paper
paper, rock, scissors, rock, paper, paper, rock, paper, paper, scissors, paper
rock, paper, rock, paper, scissors, scissors, rock, scissors, scissors, rock
scissors, scissors, rock, rock, paper, paper, rock, rock, rock, scissors, rock, rock, paper, rock, scissors, paper
scissors, paper, rock, scissors, paper, scissors, paper, scissors
